Image_ID,Question,Image_Path,Answer,Other Option 1,Other Option 2,Other Option 3
51jWyskIhKL,Does this TV stand have a shelf?,3c05e910.jpg,Yes,Yes,No,Partially
41me4qU-z1L,What is this product?,5571b29e.jpg,TV Mount,TV Mount,Speaker Mount,Monitor Stand
41me4qU-z1L,Which category best describes this product?,5571b29e.jpg,TV Mount,TV Mount,Electronics Accessory,Home Theater
41me4qU-z1L,What is the primary color of this TV Mount?,5571b29e.jpg,Black,Black,White,Silver
41me4qU-z1L,Does this TV mount include a cable sleeve?,5571b29e.jpg,Yes,Yes,No,Partially
41me4qU-z1L,What type of cables are shown with the mount?,5571b29e.jpg,"HDMI, VGA","HDMI, VGA","Ethernet, USB","Coaxial, RCA"
41me4qU-z1L,Is the cable sleeve white or black?,5571b29e.jpg,White,White,Black,Gray
61dzDBGX26L,What is this product?,cc1e77bd.jpg,TV stand,Bookshelf,Cabinet,Media console
61dzDBGX26L,Which category best describes this product?,cc1e77bd.jpg,TV stand,Media cabinet,Home Entertainment Furniture,Living room furniture
61dzDBGX26L,What is the primary color of this TV stand?,cc1e77bd.jpg,White,Black,Brown,Gray
61dzDBGX26L,How many drawers does this TV stand have?,cc1e77bd.jpg,Two,One,Three,Zero
61dzDBGX26L,How many open compartments are visible in this TV stand?,cc1e77bd.jpg,Two,One,Three,Zero
61dzDBGX26L,Does this TV stand have legs?,cc1e77bd.jpg,Yes,No,Partially,Not visible
91HJZFGAE+L,What is this product?,90ac246b.jpg,TV Mount,TV Stand,Speaker Mount,Monitor Arm
91HJZFGAE+L,Which category best describes this product?,90ac246b.jpg,TV Mount,Electronics Accessory,Wall Decor,Furniture
91HJZFGAE+L,What is the primary color of this TV Mount?,90ac246b.jpg,Black,Silver,White,Gold
91HJZFGAE+L,What is the maximum extension of this TV mount?,90ac246b.jpg,"14.1""","10""","20""","30"""
91HJZFGAE+L,How many arms does this TV mount have?,90ac246b.jpg,Three,One,Two,Four
91HJZFGAE+L,Does this TV mount allow for full motion?,90ac246b.jpg,Yes,No,Partially,Not visible
91SPizBob3L,What is this product?,7eeccf26.jpg,TV Mount,TV Stand,Wall Shelf,TV Bracket
91SPizBob3L,Which category best describes this product?,7eeccf26.jpg,TV Mounts,TV Accessories,Home Theater,Electronics
91SPizBob3L,What is the primary color of this TV Mount?,7eeccf26.jpg,Black,Silver,White,Gold
91SPizBob3L,What is the installation type of this TV mount?,7eeccf26.jpg,Flat to Wall,Tilting,Full Motion,Ceiling
91SPizBob3L,Does the TV mount show a tilting mechanism?,7eeccf26.jpg,yes,no,partially,not visible
91SPizBob3L,"Based on the image, what is the approximate size range of TVs this mount supports?",7eeccf26.jpg,50-85 inches,32-42 inches,24-32 inches,85-100 inches
616hZjsOEOL,What is this product?,5dd8fd57.jpg,TV mount,TV stand,Wall shelf,Speaker mount
616hZjsOEOL,Which category best describes this product?,5dd8fd57.jpg,TV mount,TV accessory,Home theater,Audio equipment
616hZjsOEOL,What is the primary color of this TV mount?,5dd8fd57.jpg,Black,Silver,White,Gold
616hZjsOEOL,What is the maximum tilt angle of this TV mount?,5dd8fd57.jpg,15°,30°,45°,90°
616hZjsOEOL,Does this TV mount appear to have a low profile design?,5dd8fd57.jpg,yes,no,partially,not visible
616hZjsOEOL,"Based on the image, what is the approximate thickness of this TV mount when mounted to the wall?",5dd8fd57.jpg,43mm,20mm,60mm,100mm
51wTLheewdL,What is this product?,ed21f2f3.jpg,TV Stand,Bookcase,Cabinet,Shelf
51wTLheewdL,Which category best describes this product?,ed21f2f3.jpg,TV Stand,Media Console,Sideboard,Entertainment Center
51wTLheewdL,What is the primary color of this TV Stand?,ed21f2f3.jpg,White/Brown,Black,Grey,Dark Brown
51wTLheewdL,How many doors does this TV stand have?,ed21f2f3.jpg,Two,One,Three,Four
51wTLheewdL,How many drawers does this TV stand have?,ed21f2f3.jpg,Two,One,Three,Four
51wTLheewdL,Does this TV stand have a shelf?,ed21f2f3.jpg,Yes,No,Partially,Not visible
91sKcH-CVWL,What is this product?,2b50a7b3.jpg,TV Mount,Wall Shelf,Speaker Mount,Monitor Stand
91sKcH-CVWL,Which category best describes this product?,2b50a7b3.jpg,TV Mounts,Home Theater,Wall Decor,Electronics Accessories
91sKcH-CVWL,What is the primary color of this TV Mount?,2b50a7b3.jpg,Black,Silver,White,Brown
91sKcH-CVWL,Does this TV mount include installation hardware?,2b50a7b3.jpg,Yes,No,Partially,Not Visible
91sKcH-CVWL,Is a bubble level included in the package?,2b50a7b3.jpg,Yes,No,Partially,Not Applicable
91sKcH-CVWL,What material is this TV mount primarily made of?,2b50a7b3.jpg,Steel,Plastic,Wood,Aluminum
81L3EmMRV6L,What is this product?,ff55a13e.jpg,TV Mount,TV Stand,Speaker Mount,Monitor Arm
81L3EmMRV6L,Which category best describes this product?,ff55a13e.jpg,TV Mount,TV Accessory,Wall Mount,Home Theater
81L3EmMRV6L,What is the primary color of this TV Mount?,ff55a13e.jpg,Black,Silver,White,Gray
81L3EmMRV6L,Does the TV mount include installation hardware?,ff55a13e.jpg,Yes,No,Partially,Not visible
81L3EmMRV6L,Is the TV mount designed for full motion articulation?,ff55a13e.jpg,Yes,No,Limited Motion,Fixed
81L3EmMRV6L,What type of material is primarily used in the construction of this TV mount?,ff55a13e.jpg,Metal,Plastic,Wood,Composite
81+wPV7da6L,What is this product?,f9081256.jpg,Monitor Stand,Laptop Stand,TV Mount,Projector Mount
81+wPV7da6L,Which category best describes this product?,f9081256.jpg,Computer Accessories,Office Supplies,Electronics,Furniture
81+wPV7da6L,What is the primary color of this Monitor Stand?,f9081256.jpg,Black,Silver,White,Gray
81+wPV7da6L,How many arms does this monitor stand have?,f9081256.jpg,Two,One,Three,Four
81+wPV7da6L,What type of mounting options are shown?,f9081256.jpg,Clamp,Wall,Grommet,Both Clamp and Grommet
81+wPV7da6L,Is the monitor portrait or landscape oriented?,f9081256.jpg,Portrait,Landscape,Both,Neither
71XsolVnKAL,What is this product?,71500f92.jpg,TV Stand,Cabinet,Shelf,Sideboard
71XsolVnKAL,Which category best describes this product?,71500f92.jpg,TV Stands,Cabinets,Media Consoles,Home Furniture
71XsolVnKAL,What is the primary color of this TV Stand?,71500f92.jpg,Grey/Brown,White,Black,Dark Brown
71XsolVnKAL,How many shelves does this TV stand have?,71500f92.jpg,One,Two,Three,Zero
71XsolVnKAL,How many doors does this TV stand have?,71500f92.jpg,One,Two,Three,Zero
71XsolVnKAL,What is the style of this TV stand?,71500f92.jpg,Contemporary,Traditional,Modern,Rustic
91jyXii1HlL,What is this product?,ca97ca90.jpg,TV Mount,TV Stand,Wall Shelf,Speaker Mount
91jyXii1HlL,Which category best describes this product?,ca97ca90.jpg,TV Mounts,TV Stands,Home Theater,Electronics Accessories
91jyXii1HlL,What is the primary color of this TV Mount?,ca97ca90.jpg,Black,Silver,White,Gold
91jyXii1HlL,What is the maximum swivel angle of this TV mount?,ca97ca90.jpg,90 degrees,45 degrees,180 degrees,360 degrees
91jyXii1HlL,Does the TV mount shown allow for tilting?,ca97ca90.jpg,yes,no,partially,not visible
91jyXii1HlL,What is the approximate size range of TVs this mount supports?,ca97ca90.jpg,23-50 inches,10-32 inches,35-65 inches,50-80 inches
91jEZiZLkpL,What is this product?,9c5cf715.jpg,TV Mount,TV Mount,TV Stand,Speaker Mount
91jEZiZLkpL,Which category best describes this product?,9c5cf715.jpg,TV Mounts,TV Mounts,Home Theater,Audio Accessories
91jEZiZLkpL,What is the primary color of this TV Mount?,9c5cf715.jpg,Black,Black,Silver,White
91jEZiZLkpL,Does this TV mount allow for tilting of the TV?,9c5cf715.jpg,Yes,Yes,No,Partially
91jEZiZLkpL,What type of TV mount is shown?,9c5cf715.jpg,Wall Mount,Wall Mount,Floor Stand,Ceiling Mount
91jEZiZLkpL,Is the TV mount shown designed for flat screen TVs?,9c5cf715.jpg,Yes,Yes,No,Partially
81p9TCzo2aL,What is this product?,37f7803e.jpg,TV Mount,Wall Shelf,Speaker Mount,Projector Mount
81p9TCzo2aL,Which category best describes this product?,37f7803e.jpg,TV Mounts,Home Theater,Audio Accessories,Wall Decor
81p9TCzo2aL,What is the primary color of this TV Mount?,37f7803e.jpg,Black,Silver,White,Gold
81p9TCzo2aL,What is the maximum weight capacity of this TV mount?,37f7803e.jpg,40kg,20kg,60kg,80kg
81p9TCzo2aL,What is indicated on the TV mount regarding safety and certification?,37f7803e.jpg,SGS Certified,UL Listed,CE Marked,ISO 9001
81p9TCzo2aL,What is the warranty duration for this product?,37f7803e.jpg,5 years,1 year,3 years,10 years
21keXWO7s6L,What is this product?,7ffd914a.jpg,Wall bracket,Curtain rod,Shelf bracket,Picture hanger
21keXWO7s6L,Which category best describes this product?,7ffd914a.jpg,Curtain accessories,Hardware,Home decor,Wall mounts
21keXWO7s6L,What is the primary color of this wall bracket?,7ffd914a.jpg,Black,Silver,White,Brown
21keXWO7s6L,How many brackets are included in this set?,7ffd914a.jpg,Two,One,Three,Four
21keXWO7s6L,What is the approximate length of the bracket?,7ffd914a.jpg,3.5 inches,1 inch,6 inches,10 inches
21keXWO7s6L,Is the bracket adjustable?,7ffd914a.jpg,Yes,No,Partially,Not visible
81xwhDWt3pL,What is this product?,414b7df0.jpg,TV Mount,Wall Mount,TV Stand,Speaker Mount
81xwhDWt3pL,Which category best describes this product?,414b7df0.jpg,TV Mount,Home Theater,Electronics,Furniture
81xwhDWt3pL,What is the primary color of this TV Mount?,414b7df0.jpg,Black,Silver,White,Brown
81xwhDWt3pL,Does this TV mount appear to have a swivel feature?,414b7df0.jpg,Yes,No,Partially,Not visible
81xwhDWt3pL,Is the TV mount attached to the ceiling?,414b7df0.jpg,Yes,No,Wall,Table
81xwhDWt3pL,What is the apparent weight capacity of the TV mount (based on the size of the TV shown)?,414b7df0.jpg,High,Low,Medium,Unspecified
91hezEad+OL,What is this product?,4a1ec330.jpg,TV Trolley,TV Trolley,TV Stand,TV Wall Mount
91hezEad+OL,Which category best describes this product?,4a1ec330.jpg,TV Mounts,TV Mounts,Home Theater,Audio Accessories
91hezEad+OL,What is the primary color of this TV Trolley?,4a1ec330.jpg,Black,Black,Silver,White
91hezEad+OL,Does this TV trolley have wheels?,4a1ec330.jpg,yes,yes,no,partially
91hezEad+OL,Is the TV mount adjustable?,4a1ec330.jpg,yes,yes,no,partially
91hezEad+OL,What is the approximate size range of TVs compatible with this trolley (inches)?,4a1ec330.jpg,24-43,24-43,32-55,19-32
61kI1AVedvL,What is this product?,80561dc2.jpg,TV stand,Coffee table,Sideboard,Media console
61kI1AVedvL,Which category best describes this product?,80561dc2.jpg,TV stand,Media console,Cabinet,Furniture
61kI1AVedvL,What is the primary color of this TV stand?,80561dc2.jpg,White,Black,Brown,Gray
61kI1AVedvL,How many drawers does this TV stand have?,80561dc2.jpg,Two,One,Three,Four
61kI1AVedvL,Does this TV stand have open storage compartments?,80561dc2.jpg,Yes,No,Partially,Not visible
71CqhDlnQuL,What is this product?,a027f95d.jpg,TV mount,TV mount,TV stand,Speaker mount
71CqhDlnQuL,Which category best describes this product?,a027f95d.jpg,TV mount,TV mount,Home theater,Electronics
71CqhDlnQuL,What is the primary color of this TV mount?,a027f95d.jpg,Black,Black,Silver,White
71CqhDlnQuL,What is the size range of TVs this mount fits?,a027f95d.jpg,"50-85""","50-85""","32-65""","40-75"""
71CqhDlnQuL,What type of mounting style does this TV mount have?,a027f95d.jpg,Low profile,Low profile,Full motion,Tilting
71CqhDlnQuL,Does this mount attach directly to the wall?,a027f95d.jpg,yes,yes,no,partially
81bbPFbXLiL,What is this product?,2917f749.jpg,TV Mount,TV Mount,Speaker Stand,Projector Mount
81bbPFbXLiL,Which category best describes this product?,2917f749.jpg,TV Mount,TV Mount,Home Theater,Electronics Accessories
81bbPFbXLiL,What is the primary color of this TV Mount?,2917f749.jpg,Black,Black,Silver,White
81bbPFbXLiL,What is the maximum TV size this mount supports?,2917f749.jpg,65 inches,65 inches,55 inches,75 inches
81bbPFbXLiL,How many arms does this TV mount have?,2917f749.jpg,Dual-Arm,Dual-Arm,Single-Arm,Triple-Arm
81bbPFbXLiL,Does this mount allow for TV tilting?,2917f749.jpg,yes,yes,no,partially
61aZ0EEvsZL,What is this product?,a13a1c50.jpg,TV stand,Coffee table,Media console,Bookshelf
61aZ0EEvsZL,Which category best describes this product?,a13a1c50.jpg,TV stand,Media cabinet,Furniture,Home decor
61aZ0EEvsZL,What is the primary color of this TV stand?,a13a1c50.jpg,White,Black,Brown,Grey
61aZ0EEvsZL,How many drawers does this TV stand have?,a13a1c50.jpg,Two,One,Three,Four
61aZ0EEvsZL,How many open storage compartments are visible in this TV stand?,a13a1c50.jpg,Two,One,Three,Zero
61aZ0EEvsZL,Does the TV stand have visible legs?,a13a1c50.jpg,Yes,No,Partially,Not visible
61c0+mXMcZL,What is this product?,b04c5b2f.jpg,TV Stand,Coffee Table,Media Console,Sideboard
61c0+mXMcZL,Which category best describes this product?,b04c5b2f.jpg,TV Stand,Cabinet,Shelf,Media Furniture
61c0+mXMcZL,What is the primary color of this TV Stand?,b04c5b2f.jpg,White,Brown,Black,Gray
61c0+mXMcZL,How many drawers does this TV stand have?,b04c5b2f.jpg,Two,One,Three,Four
61c0+mXMcZL,What is the material of the legs?,b04c5b2f.jpg,Wood,Metal,Plastic,Glass
61c0+mXMcZL,Does this TV stand have doors?,b04c5b2f.jpg,Yes,No,Partially,Not visible
61ZXSuyfeqL,What is this product?,8b83b2a1.jpg,TV mount,TV stand,Speaker mount,Monitor arm
61ZXSuyfeqL,Which category best describes this product?,8b83b2a1.jpg,TV mount,Home theater,Electronics,Wall Decor
61ZXSuyfeqL,What is the primary color of this TV mount?,8b83b2a1.jpg,Black,Silver,White,Gold
61ZXSuyfeqL,Does this TV mount have a tilting mechanism?,8b83b2a1.jpg,yes,no,partially,not visible
61ZXSuyfeqL,Is there a level indicator included in this TV mount?,8b83b2a1.jpg,yes,no,partially,not applicable
61ZXSuyfeqL,What is the maximum TV size compatibility of this TV mount (according to the image)?,8b83b2a1.jpg,"70""","55""","65""","80"""
81Hdyz-bC2L,What is this product?,bda5dcf8.jpg,TV Mount,Monitor Stand,Speaker Bracket,Wall Shelf
81Hdyz-bC2L,Which category best describes this product?,bda5dcf8.jpg,TV Mounts,Wall Decor,Hardware,Electronics
81Hdyz-bC2L,What is the primary color of this TV Mount?,bda5dcf8.jpg,Black,Silver,White,Brown
81Hdyz-bC2L,How many adjustment points are visibly present on this TV mount?,bda5dcf8.jpg,One,Two,Three,Zero
81Hdyz-bC2L,Is this a low-profile TV mount?,bda5dcf8.jpg,yes,no,partially,not visible
81Hdyz-bC2L,Does this mount appear to be made of metal?,bda5dcf8.jpg,yes,no,plastic,wood
81-LWnVwrbL,What is this product?,10bcdd11.jpg,TV Mount,Wall Shelf,Speaker Mount,Picture Frame
81-LWnVwrbL,Which category best describes this product?,10bcdd11.jpg,TV Mount,Electronics Accessory,Home Decor,Furniture
81-LWnVwrbL,What is the primary color of this TV Mount?,10bcdd11.jpg,Black,Silver,White,Brown
81-LWnVwrbL,Does this TV mount require wall studs for installation?,10bcdd11.jpg,No,Yes,Partially,Not visible
81-LWnVwrbL,What is the maximum TV size this mount supports?,10bcdd11.jpg,80 inch,65 inch,55 inch,40 inch
81-LWnVwrbL,Is a bubble level included for installation?,10bcdd11.jpg,Yes,No,Partially,Not visible
71L5e6ZXaBL,What is this product?,f0410ca3.jpg,TV Mount,TV Stand,Speaker Mount,Monitor Arm
71L5e6ZXaBL,Which category best describes this product?,f0410ca3.jpg,TV Wall Mount,TV Accessories,Home Theater,Electronics
71L5e6ZXaBL,What is the primary color of this TV Mount?,f0410ca3.jpg,Black,Silver,White,Gray
71L5e6ZXaBL,Does this TV mount appear to be full-motion (allowing tilting and swiveling)?,f0410ca3.jpg,Yes,No,Partially,Not visible
71L5e6ZXaBL,How many arms does the TV mount have for attaching to the TV?,f0410ca3.jpg,Four,Two,Three,Five
71L5e6ZXaBL,Does the mount seem to have a mechanism for tilting the TV?,f0410ca3.jpg,Yes,No,Partially,Not visible
613z88UQemL,What is this product?,0cb8774e.jpg,TV Mount,TV Mount,Speaker Stand,Monitor Arm
613z88UQemL,Which category best describes this product?,0cb8774e.jpg,TV Wall Mount,TV Wall Mount,TV Stand,Home Theater System
613z88UQemL,What is the primary color of this TV Mount?,0cb8774e.jpg,Black,Black,Silver,White
613z88UQemL,Does this TV mount appear to be full-motion?,0cb8774e.jpg,yes,yes,no,partially
613z88UQemL,What is the material of the TV mount?,0cb8774e.jpg,Metal,Metal,Plastic,Wood
613z88UQemL,How many arms does the TV mount have?,0cb8774e.jpg,Two,Two,One,Three
81UF1MB6N6L,What is this product?,159c5f78.jpg,TV Stand,Coffee Table,Sideboard,Console Table
81UF1MB6N6L,Which category best describes this product?,159c5f78.jpg,TV Furniture,Living Room Furniture,Media Storage,Home Entertainment
81UF1MB6N6L,What is the primary color of this TV Stand?,159c5f78.jpg,Light Brown,Dark Brown,Black,Grey
81UF1MB6N6L,How many drawers does this TV stand have?,159c5f78.jpg,Two,One,Three,Four
81UF1MB6N6L,What material is the frame of this TV stand made from?,159c5f78.jpg,Metal,Wood,Plastic,Glass
81UF1MB6N6L,Does this TV stand have doors?,159c5f78.jpg,Yes,No,Partially,Not visible
71CDvaR9YKL,What is this product?,78fbe9c1.jpg,TV Mount,Wall Mount,Ceiling Fan,Lamp
71CDvaR9YKL,Which category best describes this product?,78fbe9c1.jpg,TV Mounts,TV Stands,Audio Equipment,Home Theater
71CDvaR9YKL,What is the primary color of this TV Mount?,78fbe9c1.jpg,Black,White,Silver,Gray
71CDvaR9YKL,What is the maximum TV size this mount can support?,78fbe9c1.jpg,80 inch,65 inch,55 inch,40 inch
71CDvaR9YKL,Does this mount allow for TV tilting?,78fbe9c1.jpg,yes,no,partially,not visible
71CDvaR9YKL,Does this mount include an HDMI cable?,78fbe9c1.jpg,yes,no,partially,not applicable
71iLG6e4pzL,What is this product?,0a571fc9.jpg,TV Stand,Media Console,Cabinet,Shelf
71iLG6e4pzL,Which category best describes this product?,0a571fc9.jpg,TV Stand,Furniture,Home Entertainment,Storage
71iLG6e4pzL,What is the primary color of this TV Stand?,0a571fc9.jpg,Grey/Brown,Black,White,Dark Brown
71iLG6e4pzL,How many shelves does this TV stand have?,0a571fc9.jpg,One,Two,Three,Zero
71iLG6e4pzL,What is the shape of this TV stand?,0a571fc9.jpg,Rectangular,Square,Circular,L-Shaped
71iLG6e4pzL,Does this TV stand have doors?,0a571fc9.jpg,Yes,No,Partially,Not visible
81MXFSxSGbL,What is this product?,fe5873f4.jpg,TV Mount,TV Mount,TV Stand,Speaker Mount
81MXFSxSGbL,Which category best describes this product?,fe5873f4.jpg,TV Mounts,TV Mounts,Home Theater,Electronics Accessories
81MXFSxSGbL,What is the primary color of this TV Mount?,fe5873f4.jpg,Black,Black,Silver,White
81MXFSxSGbL,Does this TV mount have triple arms?,fe5873f4.jpg,yes,yes,no,partially
81MXFSxSGbL,Does the mount allow for tilting of the TV?,fe5873f4.jpg,yes,yes,no,partially
81MXFSxSGbL,What is the maximum TV size supported (inches)?,fe5873f4.jpg,70,70,55,65
61Y3U60-1sL,What is this product?,f77b107d.jpg,TV mount,TV stand,Wall shelf,Speaker mount
61Y3U60-1sL,Which category best describes this product?,f77b107d.jpg,TV Mounts,TV Accessories,Home Theater,Electronics
61Y3U60-1sL,What is the primary color of this TV mount?,f77b107d.jpg,Black,Silver,White,Gray
61Y3U60-1sL,What is the maximum VESA compatibility shown on the product?,f77b107d.jpg,600x400,200x200,800x600,100x100
61Y3U60-1sL,Does this TV mount have a tilting feature?,f77b107d.jpg,yes,no,partially,not visible
61Y3U60-1sL,"Based on the image, what additional feature is visible on the mount besides the main structure?",f77b107d.jpg,Level,Remote,Cable management,Speaker
71xk1OOo4RL,What is this product?,3681972d.jpg,TV Mount,TV Stand,Projector Mount,Speaker Mount
71xk1OOo4RL,Which category best describes this product?,3681972d.jpg,TV Mounts,TV Accessories,Home Theater,Electronics
71xk1OOo4RL,What is the primary color of this TV Mount?,3681972d.jpg,Black,Silver,White,Gray
71xk1OOo4RL,Is this TV mount designed for ceiling installation?,3681972d.jpg,yes,no,partially,not visible
71xk1OOo4RL,Does the mount appear to have a tilting mechanism?,3681972d.jpg,yes,no,partially,not applicable
71xk1OOo4RL,What is the approximate number of arms connecting to the TV?,3681972d.jpg,Four,Two,Three,Six
81IgzuqBy0L,What is this product?,7a105292.jpg,TV Mount,TV Stand,Wall Shelf,Monitor Arm
81IgzuqBy0L,Which category best describes this product?,7a105292.jpg,TV Mount,Electronics,Furniture,Home Decor
81IgzuqBy0L,What is the primary color of this TV Mount?,7a105292.jpg,Black,Silver,White,Brown
81IgzuqBy0L,What is the maximum TV size supported by this mount?,7a105292.jpg,65 inches,55 inches,75 inches,85 inches
81IgzuqBy0L,Does the mount allow for TV tilting?,7a105292.jpg,Yes,No,Partially,Not visible
81IgzuqBy0L,How many arms does this TV mount have?,7a105292.jpg,Two,One,Three,Four
81ofL-i7DJL,What is this product?,5b713caa.jpg,TV Trolley,TV Trolley,TV Stand,TV Wall Mount
81ofL-i7DJL,Which category best describes this product?,5b713caa.jpg,TV Mounts,TV Mounts,Home Theater,Electronics Accessories
81ofL-i7DJL,What is the primary color of this TV Trolley?,5b713caa.jpg,Black,Black,Silver,White
81ofL-i7DJL,Does this TV trolley have a swivel feature (based on image)?,5b713caa.jpg,yes,yes,no,partially
81ofL-i7DJL,What is the main material of the visible part of this product?,5b713caa.jpg,Metal,Metal,Plastic,Wood
81ofL-i7DJL,Is the assembly of the product visible in the image?,5b713caa.jpg,no,yes,no,partially
